"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Azerbaijan","AZE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33200","30800","29000","28675","28351","28026","27701","27377","27052","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4337887116965","7.64209953766658","11.9747921986201","13.3604600694444","13.3389453103785","10.6375404530744","20.9375335985378","13.4114194236926","9.95488562178228","15.5745876862704","17.9702657106706","17.6034903651379","","","",
"Azerbaijan","AZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44462","44566","44860","44891","45262","45887","46821","46924","47404","47456","47449","47546","47549","47586","47560","47565","47567","47573","47668","47687","47683","47698","","","",
"Azerbaijan","AZE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4289868656645","53.5539613300167","53.9072545273201","53.9445065311174","54.3903288991432","55.1413773627985","56.3483849227362","56.7365939181428","57.3863567580655","57.4500024211903","57.4317945241957","57.5255287228379","57.5152409521966","57.5683522864747","57.5529121337899","57.5645354536543","57.5683493289119","57.5790951562538","57.6703445605885","57.691935444845","57.6870962278303","57.7045451795933","","","",
"Azerbaijan","AZE","Arable land (hectares)","AG.LND.ARBL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1704500","1715800","1723600","1726300","1784800","1801200","1809700","1824900","1825600","1835700","1837300","1838500","1840700","1843200","1841300","1854000","1860200","1874000","1884100","1885700","1896800","1925300","","","",
"Azerbaijan","AZE","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230899485234354","0.228925950633756","0.226879031196525","0.224632400780742","0.229911116836275","0.229796191751985","0.228699608239606","0.228605430459428","0.226822056009741","0.226316697899201","0.224830058921065","0.223278803998008","0.221597544091976","0.219641676150074","0.217017991525773","0.216051181056483","0.212269210580368","0.209449994819633","0.208088238867318","0.205568858972372","0.204049491683542","0.204453720536305","","","",
"Azerbaijan","AZE","Arable land (% of land area)","AG.LND.ARBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4825937008063","20.6183832630352","20.7121141112994","20.7445594049293","21.4475407669106","21.6446158837737","21.7794733548356","22.0651713922979","22.1003571212396","22.2228947750714","22.2384952431674","22.2438658471664","22.2650958002709","22.2985724655214","22.281786608904","22.4376429582834","22.5132220702676","22.6816102248796","22.7944734804491","22.8132788114883","22.9475670836459","23.2920795073737","","","",
"Azerbaijan","AZE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","627000","702120","627000","603393","633623","654636","589076","512415","640726","752440","813191","765399","806034","792935","773895","728680","882691","1113798","954540","954216","1017719","1061005","980520","","",
"Azerbaijan","AZE","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72880541235565","3.73120876743935","3.70957857168607","3.71919199202086","3.1592102575195","3.13397502914068","3.00871323352429","2.86439755758418","2.86665456086193","2.74805094184301","2.73427098211044","2.73193631128103","2.69498742016644","2.67965158480523","2.67555695390685","2.71938423555894","2.75333728684328","2.74866258381545","2.75116144018583","2.74867526434223","2.79343802172808","2.78614548929941","","","",
"Azerbaijan","AZE","Rural land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Rural land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8520","8558","8558","8578","8598","8618","8638","8658","8678","8698","8718","8728.8","8739.6","8750.4","8761.2","8772","9034.2","9296.4","9558.6","9820.8","10083","10345.2","10607.4","10869.6","11131.8","11394","",
"Azerbaijan","AZE","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2382926565485","10.2839564031388","10.2839564031388","10.3079899539757","10.3320235048127","10.3560570556497","10.3800906064867","10.4041241573236","10.4438453762095","10.5168974064446","10.5538405665517","10.5670427582199","10.5783243361011","10.5870396360645","10.5975420940584","10.6121461408178","10.9323910596948","11.2507715208946","11.5683735340748","11.8864225024812","12.1987514518002","12.5156669650851","12.8328776403978","13.1499292273074","13.4671360650383","13.7843429027692","",
"Azerbaijan","AZE","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9856709372893","29.9900946279163","29.9289109493964","30.0321773328566","30.0508552935737","30.0357443229605","30.0557132345212","30.0523472155065","29.5251508208438","29.4767978518083","29.4545683309917","29.5262462512845","29.6511384125121","","","",
"Azerbaijan","AZE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","447","","","","","447","","","","","447","","","","","447","","","","","447","","447","","",
"Azerbaijan","AZE","Land area (sq. km)","AG.LND.TOTL.K2","","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83217","83092","82705","82605","82604","82618","82652","82672","82660","82637","82629","82627","82622","82656","82658","82658","82659","82659","82659","",
"Azerbaijan","AZE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194.778527427398","179.508101177293","168.252494778371","166.106702195447","158.84692962797","155.596269153897","153.069569541913","150.019179133103","148.181419807187","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1324700","1136700","1023700","909350","999923","1119498","918298","1068870","1496224","1956002","2133184","1993211","2086640","2056186","2011622","1943683","2419878","2903361","1928779","2370789","2706862","2856572","2297996","","",
"Azerbaijan","AZE","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","95.4","78.2","68.5","62.4","64.3","53.8","55","61.8","71.4","80.58","84.49","89.92","88.26","106.98","104.76","103.44","109.03","112.35","100.96","","","","","","","","","","","","95.74","78.34","68.46","62.46","64.41","53.77","55.73","62.2","71.77","80.75","84.5","89.82","88.69","106.71","104.6","103.36","109.24","112.35","101.91","111.17","116.42","119.63","","","",
"Azerbaijan","AZE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","82.5","68.3","62.1","58.6","63.6","57.8","63.6","70.1","76.01","83.39","88.28","92.54","89.74","103.41","106.85","106.48","113.76","126.37","123.05","","","","","","","","","","","","79.33","65.65","59.62","58.01","61.32","59.35","63.6","70.09","75.65","82.88","88.19","92.04","91.5","102.89","105.61","105.74","112.57","122.63","120.91","128.49","134.98","139.8","","","",
"Azerbaijan","AZE","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","","","79.6","68.6","64.2","60.2","66.5","64.7","74.3","77.5","80.39","83.1","86.86","91.95","93.25","100.54","106.21","111.42","117.25","144.32","150.91","","","","","","","","","","","","72.42","62.58","58.56","58.79","61.78","66.65","71.97","76.21","78.57","82.01","86.49","91.24","96.37","99.93","103.71","109.18","113.91","134.24","144.12","148.58","158.03","165.88","","","",
"Azerbaijan","AZE","Surface area (sq. km)","AG.SRF.TOTL.K2","","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","",
"Azerbaijan","AZE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2112.8","1619","1632.7","1507.1","1578.1","1710.1","1558.9","2085.9","2335.2","2599.5","2623.2","2604.1","2588.8","2593.1","2599.3","2667.4","2741.5","2606.7","2020.6","2484.5","2659.7","2692.3","2343.7","","",
"Azerbaijan","AZE","Trade in services (% of GDP)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6268656916305","18.5771016160197","26.9449431336044","23.2200854234646","16.1944985059919","14.1158929678843","16.7266968244413","26.7149829103601","34.0092295734509","37.6987443911937","25.6712094985825","18.6050674028858","14.6461956093863","11.4308539947978","13.0371860264315","12.1413455080655","13.4674599809915","17.8061437807204","16.9260087179985","19.5269553164072","24.72675607787","",
"Azerbaijan","AZE","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1699749539619","50.3127750106602","57.9496772522777","47.0767281273679","57.3549419108007","43.1013665380829","58.2996548171433","77.643547317832","84.0791694244244","83.4670796257053","77.663908530164","71.4285373987613","70.1997814013943","72.1483511684555","64.6485505895125","56.6594162899601","51.9350711644711","51.2638264881729","51.57843256152","60.014936378863","56.5148991952012","",
"Azerbaijan","AZE","Primary income payments (BoP, current US$)","BM.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15966000","27182000","32265000","51573000","56010000","391365000","408656000","421822000","494657000","765928000","1847444000","2960592000","5407170000","5861154000","4070582000","4142615000","5878555000","5418421000","5156957000","4255554000","3286043000","",
"Azerbaijan","AZE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1290071000","1778475000","2101118000","2424676000","1918508000","2023514000","2129929000","3109182000","4751248000","6200378000","6810443000","7892462000","9261963000","11220723000","9786925000","10236392000","15707412000","17393069000","19492843000","19718722000","18446480000","",
"Azerbaijan","AZE","Insurance and financial services (% of service imports, BoP)","BM.GSR.INSF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.809154441814738","0.734647033740689","1.33245357143841","0.996613739399206","","","1.76426793409188","1.01891304713946","1.19828746296871","1.34508955689749","1.91887317586881","4.04641666099503","5.55987829374926","1.66683607095775","2.41668683385332","3.04912823699799","2.68803789912871","2.34900223162009","2.036976027806","1.54828458374881","1.82968668549708","",
"Azerbaijan","AZE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","985432000","1337583000","1375164000","1723903000","1433392000","1539005000","1465064000","1802888000","2703993000","3464352000","4151643000","4953862000","5876763000","7305041000","6113466000","6306941000","9867911000","9963489000","11172912000","9332001000","9773629000","",
"Azerbaijan","AZE","Service imports (BoP, current US$)","BM.GSR.NFSV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304639000","440892000","725954000","700773000","485116000","484509000","664865000","1306294000","2047255000","2736026000","2658800000","2938600000","3385200000","3915682000","3673459000","3929451000","5839501000","7429580000","8319931000","10386721000","8672851000","",
"Azerbaijan","AZE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050000","144000","","46000","1281000","4697000","4827000","19229000","16531000","18423000","28180000","","","","",
"Azerbaijan","AZE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1306037000","1805657000","2133383000","2476249000","1974518000","2414879000","2538585000","3531004000","5245905000","6966306000","8657887000","10853054000","14669133000","17081877000","13857507000","14379007000","21585967000","22811490000","24649800000","23974276000","21732523000","",
"Azerbaijan","AZE","Transport services (% of service imports, BoP)","BM.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.232832959667","26.3429592734729","15.0539841367359","27.7300923408864","14.0242746064859","29.7329874161264","23.5544057816248","13.2632470178995","9.27876595734288","10.5758863402614","14.25048894238","17.6728714353774","16.4543896963252","17.430194791099","21.8937246883659","20.4030283110796","16.4529811708226","13.0493917556578","11.8096532290953","9.47279704538131","11.6415005861394","",
"Azerbaijan","AZE","Travel services (% of service imports, BoP)","BM.GSR.TRVL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.7880376445563","22.6096186821262","25.663885039548","24.1965657923465","28.6207834827134","27.1656460457907","16.3816714671399","8.07429261712907","5.443777155264","4.61194447713582","6.16672935158718","6.85217450486626","7.78595060853125","8.75461796948782","11.0410378882683","19.8884271619623","28.9239097655776","33.3377795245492","34.5749381815787","28.9639819920069","30.0139135331623","",
"Azerbaijan","AZE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3899260.3521","4000","20000","","760000","593066000","957756000","1655583000","2367824000","4017245000","5775441000","9628755000","4527631000","2752849000","3021842000","3552538000","4480843000","1477887000","1987073000","3209378000","",
"Azerbaijan","AZE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.122743711388124","0.000100941018529073","0.000449802469709917","","0.0144140940208982","10.3907790321569","15.3584375863514","22.7547583950185","27.2774696035544","30.3293095240168","27.524355507214","29.1336001322262","9.26796495420707","6.21529999073073","5.71207482255976","5.38658127299259","6.51940042744698","2.00907730877068","2.64245420124182","6.05004902993629","",
"Azerbaijan","AZE","Secondary income, other sectors, payments (BoP, current US$)","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13220000","40539000","47039000","76361000","45799000","58610000","97260000","152600000","84915000","68282000","135025000","174810000","299430000","433409000","550426000","879408000","1175809000","1970880000","1714586000","1815795000","980534000","",
"Azerbaijan","AZE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9310000.42","14861000.06","19038999.56","30271999.36","77029998.78","100962000","141882000","187881000","131284000","172305000","239397000","274348000","404535000","567345000","638101000","953589000","1279630000","2072681000","1902602000","2031324000","1293019000","",
"Azerbaijan","AZE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-400650000","-931182000","-915755000","-1364521000","-599703000","-167773000","-51755000","-768373000","-2020854000","-2589213000","167315000","3707605000","9018885000","16452805000","10174876000","15040436000","17144935000","14975987000","12231737000","10208803000","-222495000","",
