"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"St. Kitts and Nevis","KNA","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.27622272210756","9.15038660383401","15.8006410545799","17.822135091784","13.1929022186064","6.6","13","10.7","21","22.7","16.3","34.1","31.7","45","52.2","40.1","64.2","33.6","","","","",
"St. Kitts and Nevis","KNA","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","98.7654320987654","99","74.2424242424242","80","87.2037914691943","88.1578947368421","85.2282157676348","82.2242817423541","81.6377171215882","80.4025344763323","81.0429152028657","81.9833541859326","84.9323378441437","84.4901802528922","83.8119471707257","78.8483809700283","78.0550957171357","77.1830536845881","72.7936171821824","70.5467039190516","61.4758249892858","66.0298205311708","66.411363521303","72.5865567484879","78.2883080928818","76.4677704279951","76.644797925077","74.354917080723","70.8557844084476","66.0456410098266","69.3550056217851","68.8233153962007","69.4417633426061","69.8937872488406","","","",
"St. Kitts and Nevis","KNA","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","6.68642560758744","8.74884151992587","7.19602977667495","7.4990682072307","7.49466143142524","5.74443779578959","5.48296780214652","4.51080620572145","5.24657700230219","6.35567702784083","7.53852031070929","7.57243633175243","8.15246161990469","7.92116589896549","11.0959597927299","12.1701929121872","11.66030302999","9.56113907341668","7.45572829228267","7.0467427100204","7.03356474466503","7.7781826733929","8.95424164686242","13.1762518725431","11.139603687061","10.7823596247309","11.3909692960451","11.5338949441558","","","",
"St. Kitts and Nevis","KNA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.32801240316269","6.19368945157354","0.299890024985955","0.748298800332128","1.32978683831187","","0.176571387288905","0.640465724522716","0.217966598651169","0.0659694915206747","0.703921885849166","0.075721631870189","0.681417718989597","0.33252240330322","1.02376401788464","0.451769582470493","0.0225812732498316","1.29866312027097","0.123009242872901","","","","","",
"St. Kitts and Nevis","KNA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512321","378165","21507","39203","160867","","31602","135540","45472","16010","202018","19418","193968","107898","291175","172089","6599","301723","36481","","","","","",
"St. Kitts and Nevis","KNA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","8100000","10000000","13200000","13000000","20318518.5185185","22800000","31240740.7407407","39962962.962963","46270370.3703703","49685185.1851852","53766666.6666666","68085185.1851852","79370370.3703704","82600000","91700000","79951851.8518518","87255555.5555555","92929629.6296296","97948148.1481484","98096296.2962963","95062962.9629629","93671481.4814815","86032800","103809651.851851","131110822.222222","158438372.222222","171761705.185186","167823572.962963","155331242.592592","126406379.62963","129093045.925925","136720657.407408","136809194.444445","144566830","","","",
"St. Kitts and Nevis","KNA","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","1.23456790123457","1","25.7575757575758","20","12.7962085308057","11.8421052631579","7.49259039715473","8.49860982391093","10.589930361002","11.5393216548641","10.256940139147","11.6520698471414","8.92673821745223","9.8018114967267","9.35013530433388","12.8271644971511","12.9462201281888","13.4430672352636","15.5448839143918","20.1955750207657","24.0776093816964","19.6071376323084","19.3211624369276","15.9929145245393","12.8028558932987","14.7343865597651","14.6294835296838","15.9512708018087","18.5371984799368","19.3431291449849","17.7906045740924","18.7215091382261","18.2519214209735","17.7169261569324","","","",
"St. Kitts and Nevis","KNA","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","47.7740176573","49.1049923696","38.1232366002","37.2905678097","40.7783044645","41.2361306201","50.9022939883","56.653051972","55.6983366864","57.9054959379","55.9640863514","55.6187939458","52.9412598113","54.6242060906","45.3800442849","58.3180133447","67.5261207149","125.8441340596","85.9423354553","85.9423354553","100","95.1504428256","119.7053958128","125.8441340596","123.5328991097","105.2977771475","121.8723704139","105.5218410935","157.0534793064","115.6354123552","98.2597137476","137.7717024732","141.1909796766","125.8441340596","128.913503183","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","7967272.727273","9348181.818182","3250000","2891139.393998","6880342.424289","6291121.129102","8287778.284159","28492998.32465","31507410.3637","23730735.13223","28440547.39902","39054939.34925","62200953.13148","37096297.57892","39520116.08978","38323648.36888","51474577.59312","50611009.94715","28125986.2963","32712263.7037","62934044.81777","68373837.51003","69501457.56569","69986978.39897","82716921.06922","83489069.44166","83601581.55112","84666031.85705","90385520.85083","103343940.3202","96899290.13841","98514855.28529","107127014.7102","111666138.088","","",
"St. Kitts and Nevis","KNA","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","6.19361142252376","6.74666249861063","3.73037687258019","8.35947006361084","8.47992907480102","6.91063094894228","5.69492851893591","7.92555067577532","9.22197061027176","6.35675772495937","6.72765535321415","8.40381298859811","12.0692206323972","15.0149868965179","18.7648352864203","20.6221611360851","29.2570438850186","33.2492481977907","18.8291908771865","24.9699714659309","23.017229092796","36.6150239153151","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.91556479605548","1.05379295664353","0.977995962541492","2.34833971004947","2.15205757688814","1.75448334659911","0.386250120837464","1.34563210732875","2.5880521220369","3.84675191245683","2.28354279078248","2.13310282510624","2.42748873392962","3.24693763008841","3.42980332187521","5.09373874435825","5.23111493619634","6.01739684497068","4.74468115788439","6.84265271037162","8.58857732464557","6.91769330506096","7.55501990243586","11.6281055615152","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293621966547584","0","3.27747655439682","1.0494857994275","0.40500265924359","0.747788951423716","1.07733880983163","5.06482025378522","7.95849418269512","8.41055447041133","7.19228048291908","2.54512542009189","2.69963821837748","4.26885547370534","8.21329773910917","9.50528950923811","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8063885774762","93.2533375013894","96.2696231274198","91.6405299363892","91.520070925199","93.0893690510577","94.3050714810641","92.0744493242247","90.7780293897282","93.6432422750406","93.2723446467859","91.5961870114019","87.9307793676028","84.9850131034821","81.2351647135797","79.3778388639149","70.7429561149814","66.7507518022093","81.1708091228135","75.0300285340691","76.982770907204","63.3849760846849","","",
"St. Kitts and Nevis","KNA","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","4147010","4080740","6306350","8460570","11754300","21587800","17746800","15013000","16745000","16842400","24000000","24000000","19000000","18000000","20000000","20000000","25000000","28000000","28000000","29000000","28000000","27000000","26000000","27000000","22000000","19000000","22000000","41000000","28000000","28000000","33000000","31000000","39000000","41000000","40247000","34306000","39706000","34379247.037037","51168000","37674000","32013000","44886000","46000000","41000000","42000000","40000000","",
"St. Kitts and Nevis","KNA","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","0.00132586592549125","0.000359660084094329","0","","","0","7.90964026956054E-05","","","","","","0.0280706373702526","0.00946959181432444","0.104219378154247","0.000239059223717109","0.000154583032786443","","0","0.0195850595728325","0.0039700368389985","0.0425300579747911","0.00931644656773287","0.0211463460843657","0.00253207213112203","0.0117410235455413","0.0794212512445077","1.42210561839958","5.4969756098276E-05","0.125152371407093","0.0966496001817182","","","","","",
"St. Kitts and Nevis","KNA","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","28.072545847841","25.0354163665874","28.3166488789372","","","45.4783626062833","56.8050703054025","","","","","","38.831298740476","31.3887151254777","41.3992862929524","28.4640754566534","34.0004031525495","","70.4677372151955","72.9963419951519","73.1002287484068","69.7400821485312","76.7207984737388","68.9829990210164","95.4653539420976","92.2238499040738","89.7658755313963","88.5537133415193","89.2444068044129","87.2321527867419","87.2609865803348","","","","","",
