"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Nigeria","NGA","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.824862","","",
"Nigeria","NGA","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.963763","","",
"Nigeria","NGA","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.069148","","",
"Nigeria","NGA","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.509958","","",
"Nigeria","NGA","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.294961","","",
"Nigeria","NGA","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.90872","","","51.45628","","",
"Nigeria","NGA","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.81722","","","33.8117","","",
"Nigeria","NGA","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9904","","","33.55765","","",
"Nigeria","NGA","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.27689","","","54.28027","","",
"Nigeria","NGA","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.66754","","","44.1732","","",
"Nigeria","NGA","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","","","","",
"Nigeria","NGA","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","","50000","","","","","","","","","","","","","",
"Nigeria","NGA","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470000","","","","550000","30000","100000","200000","200000","","","","140000","560000","6300","6111580","117420","4614","","",
"Nigeria","NGA","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","","","","","405","","324","811","1446","3811","4419","",
"Nigeria","NGA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","21.1409395973155","9.15619389587073","2.41935483870967","6.0064935064935","20.979020979021","23.6842105263158","27.147766323024","11.144578313253","10.6382978723404","71.7539863325742","34.4444444444445","14.9090909090909","0.935039370078741","2.54025165719481","4.44550070825225","2.74779051289353","2.87279375656684","2.68448149056141","2.7554910996234","4.82704709790893","6.97703267881194","5.32302025782689","5.47116830282125","5.50000059010986","5.49987764757063","5.49995374807371","0.861846151103824","0.631830639612918","3.80287377237026","8.95580075917755","19.4362662141904","31.0293611339761","34.1980359904484","21.7254289040038","26.9321029931373","26.8231020978353","28.0718908003272","36.0299565026488","","",
