"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Papua New Guinea","PNG","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","7.9","8.3","10.5","5.2","9.9","9.8","8.1","9.2","10.4","10.4","","","","","","",
"Papua New Guinea","PNG","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000","1000","","","75000","54","21186","","",
"Papua New Guinea","PNG","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","","33","34","26","29","78","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","19.6437599471551","25.4943256183538","23.4157483188175","31.199572327212","33.7915928709067","21.63050068295","17.4473179921507","26.1250013940896","23.6338918514503","20.584195312015","21.4041322796325","20.2109358352254","17.1331899217801","14.0577710479382","12.0299220723976","9.44725138977948","6.33298876755159","7.09230881216885","12.7424210333876","7.83400712432766","3.14933853841465","2.03181901647119","4.73520494427325","2.37252719851391","2.96949219739325","1.80922883517137","1.69651272384543","1.81081423325313","3.07161629434955","1.26525585040869","1.27833279621871","1.3343376735177","0.675675675675678","1.3148945817275","0.816864295125166","1.25367927613649","0.543357728986472","0.939239332096474","1.54022988505747","","",
"Papua New Guinea","PNG","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","24.442281979857","45.3221410156337","57.3256421550816","49.1656751991242","40.3728528115973","23.3341195640077","27.7275005002069","34.5898465894623","27.8693860341352","39.8906032169091","38.511754450773","28.1666827944656","21.6128067922595","20.2724656772956","11.1873180579474","5.39352096409244","7.11486120375931","8.26835958139817","15.8838793020635","10.8009987080708","7.81378744313835","5.49118884592008","3.61472951890949","4.32861516833145","4.87248561034116","7.48163170264958","2.95318881558279","7.50918070153221","11.0216819973719","10.8050610234016","7.02545923300032","8.68395566555472","8.17800559179871","8.63749716617544","7.48353096179182","9.10280170064319","16.7110223996451","15.9554730983302","11.1494252873563","","",
"Papua New Guinea","PNG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5595709550784","","19.0275463871262","46.2731428981359","16.9522101595941","40.1653918848918","60.858764328413","","","","","","","14.184520295678","3.45228947265242","","","","",
"Papua New Guinea","PNG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33758608","","10895186","38456809","12583204","47665157","70850283","","","","","","","65439337","15582279","","","","",
"Papua New Guinea","PNG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","41115066.4667191","28180764.3331031","25998799.3813068","28372065.2328881","36284843.2066491","73692872.5017226","82183083.0293175","61573470.407918","50123204.4972743","47651557.4131209","57220581.7522928","84080313.5094149","99030001.3514063","147894034.251169","198121438.430057","266812629.655698","329198420.286937","306699893.728906","235441718.548271","321338206.836139","432151545.771475","396925752.765306","318034112.953652","247534048.856224","242662475.157798","285126754.93001","163431043.428299","221610900.354617","188919293.60532","287915684.484652","304540650.323186","313386718.524961","317915524.985911","160100563.431062","279116547.707079","386888075.165396","432798559.675272","384226401.308081","176729767.996474","","",
"Papua New Guinea","PNG","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","55.1464645977846","27.7891570510697","17.2452778435803","18.2988771217714","24.6814291186332","54.4076609458161","54.1653253561558","38.4288583951512","47.3865575535496","37.5946219621161","38.428720695907","50.4166436730557","60.1818686158662","64.9452965854142","76.3071445913174","84.5608421385961","85.7619215624905","83.7191436554679","69.6110178174245","80.1630446070615","85.9079138662366","88.6123560978415","89.431745907776","89.4989201885395","90.3113646672617","88.8664743475339","93.8579956016337","85.2095732556667","78.0551905387647","82.5551450005599","90.1170909872167","86.1401054557194","86.8709226467847","82.6796644751757","89.0250329380764","84.2145426796032","79.8735861610113","79.3251391465677","78.0459770114943","","",
"Papua New Guinea","PNG","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","49.2142649213","39.9786207522","36.7775556075","38.7750359105","42.5449894774","43.5316322197","49.3077991305","55.4061341261","66.7404759746","67.0153520179","54.5991629643","63.8471192895","86.3855231951","118.8614596109","126.0020329374","128.193768751","121.4600775887","103.8460981018","85.1605640879","92.5686872249","100","87.2027015928","79.2795752431","106.6129117972","123.2852953539","158.14753441","201.2590041017","226.1550130683","276.0149090048","212.2924406611","277.3892332443","333.754083647","305.6994114663","287.5032409887","273.9276000174","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","0","0","0","0","0","0.369689440993789","0.592836479902558","1.01473241130487","1.21317316455464","0.637146142855483","0.997531527310336","1.34923858081649","1.95340317749992","2.33240020736133","4.27329150851833","4.11151679827913","3.86935254287245","3.33179232626138","4.61518559961709","5.41072390689099","4.53908247232369","3.01921048272495","2.25290503411959","5.16591442617833","6.47549405436577","3.04516558549546","5.19253048852278","6.40552709846763","3.88189328500482","11.0162333543256","8.6582391006981","6.45841386824129","8.72947822561518","8.47655394312789","8.76410721797729","8.03529563269761","8.97739918133657","9.93524142419291","9.68009582970998","12.3767588393568","9.88865769606204","9.9142227741773","11.8336093079877","9.0258831502314","8.93882691009336","10.0963001156986","12.3856455421126","11.2958186887524","8.89618703870685","11.4695495089185","11.6304755330174","","",
"Papua New Guinea","PNG","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","43400000","53300000","54600000","59400000","78600000","100625000","105088000","119736000","218353000","516522000","700028000","475231000","593989000","723375000","715046000","883275000","1133187000","839278000","773035000","822219000","893815000","917624000","1047492000","1186087166.058","1443120573.058","1434203057.182","1265515385.929","1407335981.212","1699480000","2624781000","3015866547.248","3131576021.536","3111047671.138","2722245465.097","2359245868.131","2791162351.728","2813691591.574","2625646157.144","2667730830.912","3658286252.678","4291385373.849","5236188859.131","6532270831.83","7515519145.387","9093518573.656","7895163582.976","9911197642.522","12048495966.54","11820013066.72","11068778115.05","14181422817.74","","",
"Papua New Guinea","PNG","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","","2.07373271889401","3.37711069418387","1.64835164835165","2.69360269360269","2.29007633587786","3.04795031055901","3.46947320341048","2.292543595911","1.78564068274766","5.399963602712","5.17036461398687","1.09315259315996","10.3700573579645","18.9709348539831","4.38349420876419","4.09272310435595","0.941327424335083","2.28398695068857","2.11555751033265","2.15696791244182","2.4086639852766","1.00095463937299","1.18263433038152","0.786560529743047","2.08512070557881","3.41400839500208","1.12425263856005","1.88875873635292","19.6358297832278","13.566122278392","14.2052943966454","16.3947043467842","19.3679446613264","24.1850733416542","31.7560724439052","28.5143402699239","32.3657860285259","38.2351050509032","40.8259915434162","37.0955511122972","40.8453346673001","38.0575135542529","37.3351625456131","39.914225475731","37.5130370008726","38.1665812325532","38.2292902116223","35.112207259177","37.3179699158161","41.9486371863985","34.302264084086","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0850396923462668","0","0","1.00324119240651E-05","0.000394673662612789","0.0022342773048564","0.00703006603797505","0.0847403607448849","0.00415601065124657","0.000132936619308287","0.00411103113224179","0.00172740291799027","0.0145130138574952","0.0326740680481086","0.0306497961360268","0.0277744478180297","0.00502743862903091","0.0605042435383619","0.0199935282773836","0.010319692179428","0.00405686752441739","0.00326226458674045","0.00229817689902397","0.000923989570291806","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","0","0","0","0","0","0.298136645962733","0.0161769183922046","0.00584619496225028","0","0","0.0124280743055992","0.000841695933135675","0","0","0.0257326102096928","0.00667968639438454","0.00591252811760107","0.00560005147281354","0.0487688138311978","0.250663144490701","0.49943220912605","0.0820597543220317","0.185490676778438","0.221413875444175","0.450926774889825","0.261429418116503","0.429074198573564","0.153504484165006","0.23877892061101","0.0300977491074493","0.109964906305726","0.18863445397457","0.369726137597323","0.180669960997979","0.157856021794597","0.0915554473279894","0.0806887415773937","0.0342209801374284","0.0118801527169648","0.0266193152400782","1.4834964759082","1.25017195480252","3.14912296129907","2.6108884359165","2.71917892208128","1.18688599560262","1.38481637902617","1.55019784223936","0.85994745389995","1.4488614058967","1.35897945307799","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","0","0","0","0","0","0","0","0.00250551212667869","0","0","0.0394269943487975","0.00799611136478891","0","0","0","0","0.00379460759786337","0.219712657784429","0.131559373120234","0.25273072016093","0.070372504377304","0.0387958466648649","0.0208116147903755","0.00244501423081597","0","0.000730703342565119","0.0377711725447815","0.0820199171426654","0","0","0","0","0.000146486753307544","0.0153426328549589","5.16532361913343E-05","0.000330082470752594","0.0124712717099212","0.00352135744185233","3.31985410123715E-06","0","9.77440522624942E-05","0.00394490768689503","5.68784522435229E-05","7.10172920665903E-05","0","2.30290582214214E-05","3.96869610946341E-05","0.00143206859803805","0.00168139831046016","0.000257769252186976","0.00097795361790152","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0151759503981681","0.0223841287589362","0.0118536320015546","0.00339244687580658","0","0","0","0.00576185972680278","0.0191088795799243","0.000354893600420508","6.37162749112412E-05","0.000830851012460545","0.000254172268732698","0.00104797926801227","0.000149820787583917","0.0026037294452287","0.000870838514112419","0.00236731950723134","9.46304149087231E-05","0.000351659837307521","0.00114825627929202","0.00286806139813649","0.00056558699182352","0.00230213385499131","0.00378612364408252","0.0647101430468934","0.0036577055170653","0.017483255962508","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","0","0","0","0","0","0.369689440993789","0.592836479902558","1.01473241130487","1.21317316455464","0.637146142855483","0.997531527310336","1.34923858081649","1.95340317749992","2.33240020736133","4.27329150851833","4.11151679827913","3.86935254287245","3.33179232626138","4.61518559961709","5.41072390689099","4.53908247232369","3.01921048272495","2.25290503411959","5.16591442617833","6.47549405436577","3.04516558549546","5.19253048852278","6.40552709846763","3.88189328500482","11.0162333543256","8.6582391006981","6.45841386824129","8.72947822561518","8.47655394312789","8.76410721797729","8.03529563269761","8.97739918133657","9.93524142419291","9.68009582970998","12.3767588393568","9.88865769606204","9.9142227741773","11.8336093079877","9.0258831502314","8.93882691009336","10.0963001156986","12.3856455421126","11.2958186887524","8.89618703870685","11.4695495089185","11.6304755330174","","",
"Papua New Guinea","PNG","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.160952206429937","0.231361863903699","0.442302839543972","0.313075752624325","0.758281295028919","0.113795101936748","0.132587351307685","0.0788713436520542","0.018052053497315","0.0427298831590255","1.52016816966729","1.28774044193338","3.18155694398815","2.61864364762344","2.78351599348122","1.21035076913365","1.40580442826631","1.56018082423679","0.946993577401868","1.45827881106162","1.38086587168133","","",
"Papua New Guinea","PNG","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","","","","","97.926267281106","96.6228893058161","98.3516483516484","97.3063973063973","97.7099236641221","96.5823602484472","95.937690316687","96.6927239927841","97.0011861526977","93.9628902544325","93.8321038587028","97.5576088260236","87.6765394645355","78.6966649386556","91.3432142827175","91.7957600973649","95.1893200327925","94.38422072305","93.2692568900503","92.4323081806672","93.0522535423997","95.9798348779021","96.5644606354989","94.0475250440786","91.4393852400554","93.5408260195025","93.6832168729172","91.7057141651795","76.4822769317674","75.4176443672824","76.9755142962266","76.9155199210708","71.4602742735145","67.0252969625935","58.7215390430886","63.3365689954418","58.5242274388299","51.7507821812518","49.4758605733765","50.484960165187","47.7458394669706","50.7405232296364","47.6496712024111","48.4412477264141","50.7646200955528","50.5267678826146","47.9792598179988","52.0317932278339","52.8388494680752","45.1235344936214","52.6863945112153","","",
