"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Portugal","PRT","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.50849","","","93.23577","","",
"Portugal","PRT","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.80163","","","78.68864","","",
"Portugal","PRT","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.80403","","","86.10841","","",
"Portugal","PRT","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.13703","","","88.8363","","",
"Portugal","PRT","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.22942","","","87.38635","","",
"Portugal","PRT","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04237920496755","1.11641232867845","1.21923456648993","1.05890339575747","1.1","1","1.1","1.4","1.4","1.3","1.5","1.8","1.2","1.2","1.2","1.1","1.2","1.4","0.9","","",
"Portugal","PRT","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","","","","","","","",
"Portugal","PRT","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","48.5760743635469","52.4254319352788","51.1595762732049","57.8208011415116","63.7729052858795","60.6920192096581","56.4096567852025","57.5452969264853","57.4288313997024","59.0308311269729","59.9908562705396","64.5414314161254","68.6945261321454","71.3141726090171","72.4295259733455","70.363616740485","71.8018219677722","68.4993841931476","58.499819281387","60.144802929911","57.901006994957","59.3613849853036","58.8001945874222","60.5152326515448","57.2905470805723","56.9805145766206","58.6029624736327","56.8219128263056","54.5179694615146","52.8306222303962","51.3749826675189","46.2689201924717","44.2681022269832","42.5729185140193","43.3062370297274","44.4388958445824","42.7007337933223","43.24471095815","42.2673470536585","44.4680587735933","45.5703326820355","",
"Portugal","PRT","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","22.3625406787506","24.9010128932155","30.0702957320493","23.1600605371621","24.1607083648055","24.9220008247006","29.0833946281049","24.0989446289332","21.2348594041434","21.1125815184233","17.9980099257385","20.9420933737328","17.3724220396718","15.3342471073322","14.5007416262321","15.6423772916455","14.3386021503731","14.5900929657396","17.0445335313151","15.1956217244544","18.2907287000998","17.9954184175227","17.9759426857165","18.1283965672688","14.9308696942584","14.9700137474719","16.014211767549","16.7914435834906","18.3057740789544","18.4698512216146","20.1622907703007","23.5772728098895","24.1918415136056","25.428463476134","24.4201901378401","26.0830299904138","26.0096952839578","26.2233141415689","25.5831884084254","24.5317148478442","23.4804639362348","",
"Portugal","PRT","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.96829803288395","4.47511885447084","4.1238361864907","3.66404382771496","3.53016613612146","2.64165113158522","3.62652207440024","5.12678094101491","4.09966488015774","4.05826756808458","3.93443594200797","4.79728669419389","6.2290944251493","7.80106975611838","7.2043628892834","8.50007308845238","8.68351454649284","8.86335626853582","8.90435959540965","8.16785669569918","7.77779686271573","4.10497212521701","3.5109419573758","3.68836955020557","4.13896624267959","4.30884523448662","4.37504758393083","4.58482819206291","",
"Portugal","PRT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343563398","448824547","543657886","489959408","542421793","340255692","538825399","996129912","812640868","817717777","826732783","1016354149","1291624925","1622596398","1601168874","2321708814","2701050865","2746308535","3096152853","3341480546","3387823077","1387080033","1297075534","1644726715","1774888298","1964368104","2085363040","1902608832","",
"Portugal","PRT","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","740376826.872268","622524834.697083","787517386.34296","1021800625.01742","1476909203.82137","1892327604.20697","1813961110.10803","1490001772.87867","1426514438.78926","1606446970.92879","1894681262.18937","2375011345.81578","3121394199.19139","3369044817.65072","3705332766.57161","5053700806.9792","5169985738.68328","5432639914.92829","6926459244.77359","6885920769.22483","8343565212.76101","8070685169.38312","7846547984.13345","9039649125.49218","9179821337.98963","9201587626.80162","9329020470.61211","10203437213.6571","12145660168.9569","14522999795.5372","14941507271.6916","18190078874.2713","22985447674.317","25791507910.691","22383462456.6776","22515663866.7347","26641665822.2092","25438970304.0065","29056709744.2264","30981037387.2753","27635305178.7632","",
"Portugal","PRT","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","25.886706181067","20.288079742544","17.3169422029839","17.2969263390133","10.7138085175986","13.1373617616503","13.289932437651","17.1941425388186","19.9875365564248","18.8344151747665","21.1393163082355","13.7834933249243","13.2740132906757","12.49622607685","12.2941489294415","13.2995267162626","12.7760464710122","16.380966616542","21.6094119113341","21.6429855249726","19.3969522319211","19.0502257474775","19.906955887397","18.4735763902816","20.7888871979151","20.3731364751599","22.1358116892788","23.2243695503362","24.1190670613311","25.3429105870409","25.5022791914831","27.3738252331579","28.1826121431785","28.6473514048532","29.6068546973524","27.1503550016178","29.1636089554767","27.8085673644733","30.0157969706158","28.8878705010953","28.8457220500932","",
"Portugal","PRT","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.7614880145","101.165505833","98.55545313","101.9385707172","101.0730102449","100","99.1967455907","106.6022611504","130.6711680692","147.2510150945","156.9745978862","178.2973675004","216.0332534494","235.0987789375","181.9123798648","203.28982797","245.30294525","239.0200854642","258.4961389367","263.3527906978","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","324190000","329810000","360670000","413800000","514900000","575600000","626500000","684400000","728400000","822600000","950420000","1033720000","1286430000","1833500000","2274680000","1938480000","1810430000","2029350000","2418870000","3479220000","4637440000","4180910000","4174250000","4571470000","5202870000","5692220000","7242380000","9413180000","10872610000","12671274330.83","16400567239.59","17024614295.85","18801001507.64","15385172393.79","18056167413.95","23174748367.08","23839183239.48","23816354422.91","24179562927.23","24541661539.67","23297483693.11","23892011500","25542649000","31732397200","35725807200","38720433100","44778076100","52491056100","57373399900","44251625400","49102018800","59172615700","57696677400","62274519300","63529541300","","",
"Portugal","PRT","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","7.77321940837163","6.33698189866893","5.24024731749244","5.12324794586757","4.27267430569043","3.92633773453787","3.91061452513966","3.69666861484512","2.8006589785832","2.80087527352298","3.5342269733381","3.09077893433425","3.84708068064333","3.85110444505045","4.67714140010903","6.18319508068177","8.80509050336108","7.80545494862887","7.12522789567029","5.58113600174752","6.62995100745239","6.80521704604978","6.82589686770078","6.82734437719158","6.31843578640251","6.25731261265376","5.33112043278591","4.52811908409272","5.53215833180809","5.31047471589246","4.62949664917675","6.5881609731999","5.19141258736339","4.53721716887464","5.22909371914409","3.81141617540374","4.93461227523439","7.10688113698801","5.5025586249148","0.672750862459406","0.757460743119608","0.689925165991152","0.81651084818963","0.658813132466399","1.00932610978206","1.14554503782139","1.18246683671164","1.4238303732662","2.04350012731248","2.4169564176054","2.97758958945289","3.2874958745486","3.56642114022323","3.34456937349655","3.00996837198949","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","26.7096455782103","24.653588429702","24.6679790390107","25.664572257129","26.8595843853175","26.3724808895066","24.0542697525938","26.4465225014611","26.2767710049423","26.3834184293703","25.6107826013762","22.6840924041326","15.6673895975685","15.2407962912463","12.381961418749","9.91240559613718","6.54043514524174","8.72052627688669","6.82674141231236","6.69144233477618","7.19297715981231","9.14107215893191","6.7973887524705","6.43797290587054","6.13699746486074","4.95729258531821","3.1840361869993","2.99240001784732","3.21091255917392","4.03378125156903","3.93722928375398","4.51129054638095","6.06845281835848","4.2170669410892","3.29026735984408","2.97160635602263","3.56112400813828","2.60766189892851","3.37129675313029","2.76515874405269","3.20506458910337","3.36719953445527","3.72473387548801","3.71856022273665","3.93653918616008","4.0024268220285","4.80432052327501","5.94202352122231","7.69191229331347","9.10588179208441","7.23441049230342","7.68800609231814","8.94908239551417","9.04890260630241","8.78472500477506","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","0.370153305160554","1.51602437767199","0.332714115396346","0.169163847269212","0.388424936880948","0.22585128561501","0.494812450119713","0.102279368790181","0.233388248215266","0.0668611718939947","0.0494518213000568","0.0802925356963201","0.124375208911484","0.111808017452959","0.130567816132379","0.147538277413231","0.0651778859166054","0.144381205804814","0.2649997726211","0.368473393461753","1.25263076179961","0.151880810636919","0.138947116248428","0.279559966487804","0.306177167601728","0.310423701121882","0.252403215517551","0.209599731440385","0.18771941603718","0.166409360234006","0.203808116084804","0.0753547787610508","0.139273886780763","0.166314678677297","0.0765717029405047","0.135718994832275","0.0813395184650335","0.0932552463975562","0.0919186929292694","0.10166834042458","0.116676549098901","0.0823120313666348","0.0858560128199702","0.112620234061611","0.121839654332569","0.119645614191232","0.121226065806789","0.10945255109851","0.153806468073718","0.186215984735331","0.198822375099575","0.238854068436931","0.244862280405769","0.285750740431649","0.263522129349925","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","4.44183966192665","3.4262150935387","2.63398674688774","2.65828902851619","1.90328219071664","1.61570535093815","1.69193934557063","1.43191116306254","1.53761669412411","1.13663992219791","1.30889501483555","1.14150833881515","0.991114946013386","0.770111808017453","0.998821812298873","2.12950352853782","2.43146655766862","2.03611993988223","1.4209114173147","2.36662240387213","2.33663400496826","3.70852278570933","3.26262202790921","4.08905669292372","3.55265459256141","3.01341128768741","2.19610128162289","1.57969995261962","0.947242658386533","0.700360554637893","0.837424373909237","0.693717595978015","0.897733598121425","0.94407828831432","1.21540126257442","1.08417272839868","0.931983683669384","0.700611004677903","0.767321867736733","0.716574954453409","0.879845234361603","1.04904561928576","0.954088982704965","1.02438872787083","1.16995033215093","1.08076761155856","1.04693108956506","1.20334538287181","1.72239714174582","2.27736470895824","2.328321172815","2.45767823983485","2.57942704340198","3.32109139219","3.0093615676712","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","1.5114593294056","1.39474242745823","1.4417611667175","1.03914934751087","0.835113614294038","1.02501737317582","1.38866719872306","1.53419053185272","1.4552443712246","1.32749817651349","1.59718861135077","1.37077738652633","1.58034249823154","1.45732206163076","2.59640916524522","1.73538029796542","1.7106433278282","1.19102175573459","2.69133934440462","2.26228867389817","1.8747412365443","1.73742080073477","1.10870216206504","0.457620852811021","0.535858093705974","1.37310223427766","1.19035455195668","0.541156123647906","0.495741132993826","0.519005355487259","0.477394241242215","0.377324511439058","0.365033170021243","0.545072667083074","0.773942057622567","1.1315308745846","1.25628335269398","1.34239688544632","1.20999584250887","0.88822918386206","1.13371642826007","1.28879646655117","1.05011543634335","0.793954198959794","0.899697796051477","0.955308012812491","1.24105912625398","1.12891327404632","1.57472069212339","1.7908817875874","2.44820728226351","2.67130645029099","2.27437741501558","2.29836603491855","2.14723256627701","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.315079417732709","0.536090107782875","0.309035917007003","0.334818289526294","0.48204667213719","0.501798041286445","0.433738300437569","0.336601903935763","0.544083651563999","0.500158389761364","0.656778785943463","0.847893710343447","0.944060404602978","1.08670142948375","1.03967329672746","1.15951334421713","1.3409050210392","1.38315778113768","1.61455825926245","1.51538070337492","1.65541005659366","1.75726864261801","1.74470597035461","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","0.246768870107036","0.727691701282557","0.831785288490864","1.25664572257129","1.18469605748689","1.11188325225851","1.21308858739026","0.482174167153711","0.590334980779791","0.526379771456358","0.391405904757896","0.420810277444569","0.352914655286335","0.359421870739024","0.456327923048517","0.607692625149602","0.510375988024944","0.380910143642053","0.451863886856259","0.408137456096481","0.543187620756279","0.64746669983329","0.42043480864826","0.542057587603112","0.435336650733153","0.34503234239014","0.455789395198816","0.399227466169775","0.495557184521472","0.29554139182927","0.381398834847518","0.445128722011416","0.315854431849116","0.493278899430224","0.448733343569254","0.485648971896392","0.39818776507215","0.433609603578371","0.307377093437869","0.37426357564067","0.4055176140243","0.438927463265284","0.619097103045185","0.744840985414112","0.946100106591853","0.934399414039612","0.96824570808213","1.60849173693802","1.52980022367473","0.881296441599183","0.751700253921128","1.04588092427356","1.88021658938717","1.49391887798964","1.88689273599399","","",
"Portugal","PRT","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","33.6191739412073","32.2640308056154","30.0745834142013","31.4403093281779","31.9091085647699","31.1153578874218","29.5291300877893","30.8299240210403","30.7660626029654","29.9173352783856","29.4112076766061","26.0186510854003","19.047285899738","18.1876193073357","17.0815235549616","15.7747307168503","12.4583662444834","13.8073767462488","12.3747865738961","12.8367852564655","13.8843844879934","15.8113903432506","12.576630532431","12.278107479651","11.6493396913627","10.7508142693009","7.58466139583949","6.01985726396393","5.59580450324255","5.9305661295763","6.04909561367099","6.2604059780832","8.10142732286389","6.90190158237426","6.11395164355922","6.14349621526178","6.71096500017463","5.67933268031511","6.18164855018011","5.18249670236917","6.28490406641224","6.72643950468549","7.09067019634495","7.24225807938645","8.01818747988989","8.17924890411414","9.22145580971041","11.1517398103941","14.0135418399703","15.6247984961022","14.5760198356651","15.6171064785294","17.5833757803183","18.2052982944503","17.8364399744218","","",
"Portugal","PRT","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","58.6076066504211","61.3989872957157","64.6851692683062","63.4364427259546","63.8182171295397","64.9583043780403","66.560255387071","65.4734073641146","66.4332784184514","67.2817894480914","67.0545653500558","70.8905699802655","77.1056334196186","77.9612762476139","78.2413350449294","78.0420742024679","78.7365432521556","78.3871683051223","80.4999855304336","81.582078741787","79.4856645045542","77.3833926106996","80.5974725998682","80.8945481431575","82.0322245222348","82.9918731180453","87.0842181713746","89.4520236519434","88.8720371649494","88.7589591545313","89.3214077371523","87.1514330487169","86.7071600897727","88.5608812487511","88.6569546372967","90.0450876093345","88.354422724591","87.2137861826969","88.3157928249051","94.1447524351714","92.9576351904682","92.5836353293234","92.0928189554654","92.0989287881471","90.972486410328","90.6752060580645","89.596077353578","87.4244298163397","83.9429580327172","81.9582450862924","82.446390574882","81.095397646922","78.8502030794584","78.4501323320532","79.1535916535887","","",
