"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"West Bank and Gaza","PSE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","38","50","62","74","86","108","130","152","244","491","544","831","985","1296","1444","1622","1769","1930","2430","2781","3203","3146","3554","3926","4180","4390","4652","4726","4784","4820","4850","4885","4920","4955","5012","5348","5927","6015","7131","7520","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"West Bank and Gaza","PSE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3660","3660","3660","3650","3650","3660","3670","3670","3670","3680","3680","3680","3680","3690","3690","3710","3730","3750","3740","3750","3790","3800","3820","3830","3800","3800","3780","3780","3770","3750","3720","3700","3700","3700","3760","3720","3700","3490","3640","3720","3690","3700","3670","3670","3638","3577","3535","3502","2993","2484","2605","2610","2620","","","",
"West Bank and Gaza","PSE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","60.797342192691","60.797342192691","60.797342192691","60.6312292358804","60.6312292358804","60.797342192691","60.9634551495017","60.9634551495017","60.9634551495017","61.1295681063123","61.1295681063123","61.1295681063123","61.1295681063123","61.2956810631229","61.2956810631229","61.6279069767442","61.9601328903655","62.2923588039867","62.1262458471761","62.2923588039867","62.9568106312292","63.1229235880399","63.4551495016611","63.6212624584718","63.1229235880399","63.1229235880399","62.7906976744186","62.7906976744186","62.624584717608","62.2923588039867","61.7940199335548","61.4617940199336","61.4617940199336","61.4617940199336","62.4584717607973","61.7940199335548","61.4617940199336","57.9734219269103","60.4651162790698","61.7940199335548","61.2956810631229","61.4617940199336","60.9634551495017","60.9634551495017","60.4318936877076","59.4186046511628","58.7209302325581","58.1727574750831","49.7176079734219","41.2624584717608","43.2724252491694","43.3554817275748","43.5215946843854","","","",
"West Bank and Gaza","PSE","Arable land (hectares)","AG.LND.ARBL.HA","","100000","100000","100000","100000","100000","101000","101000","101000","101000","102000","102000","102000","102000","103000","103000","103000","103000","104000","104000","104000","108000","108000","108000","108000","107000","108000","109000","110000","111000","109000","106000","104000","104000","104000","111000","107000","105000","84000","99000","102000","102000","102000","101000","102000","99000","94000","87000","83000","63350","43700","44500","45000","46000","","","",
"West Bank and Gaza","PSE","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0550992595468313","0.051236317848848","0.0480682347079462","0.0459632753430009","0.0439505083467932","0.0448545379457268","0.0413447156237044","0.0387952343195205","0.0302531758631519","0.0347559761847838","0.0349057698210874","0.0340251332317472","0.0331667085586041","0.0320129928376475","0.0315142991497936","0.0298157207754738","0.0275956497513162","0.0248962940578556","0.0230767861988585","0.0171113640525761","0.0114664997158302","0.0113316582850592","0.0111196196793546","0.0110324820254486","","","",
"West Bank and Gaza","PSE","Arable land (% of land area)","AG.LND.ARBL.ZS","","16.6112956810631","16.6112956810631","16.6112956810631","16.6112956810631","16.6112956810631","16.7774086378738","16.7774086378738","16.7774086378738","16.7774086378738","16.9435215946844","16.9435215946844","16.9435215946844","16.9435215946844","17.109634551495","17.109634551495","17.109634551495","17.109634551495","17.2757475083056","17.2757475083056","17.2757475083056","17.9401993355482","17.9401993355482","17.9401993355482","17.9401993355482","17.7740863787375","17.9401993355482","18.1063122923588","18.2724252491694","18.4385382059801","18.1063122923588","17.6079734219269","17.2757475083056","17.2757475083056","17.2757475083056","18.4385382059801","17.7740863787375","17.4418604651163","13.953488372093","16.4451827242525","16.9435215946844","16.9435215946844","16.9435215946844","16.7774086378738","16.9435215946844","16.4451827242525","15.6146179401993","14.4518272425249","13.7873754152824","10.5232558139535","7.25913621262459","7.39202657807309","7.47508305647841","7.64119601328904","","","",
"West Bank and Gaza","PSE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12598","15075","31740","31680","33760","21598","31054","31467","33718","33143","32330","32601","32289","31564","33903","33182","14394","15569","16255","16965","16540","","",
"West Bank and Gaza","PSE","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","16.9435215946844","16.9435215946844","16.9435215946844","16.9435215946844","16.9435215946844","16.9435215946844","17.2757475083056","17.2757475083056","17.2757475083056","17.4418604651163","17.4418604651163","17.4418604651163","17.6079734219269","17.6079734219269","17.6079734219269","18.1063122923588","18.4385382059801","18.6046511627907","18.6046511627907","18.7707641196013","18.7707641196013","19.1029900332226","19.4352159468439","19.6013289036545","19.6013289036545","19.4352159468439","19.2691029900332","19.1029900332226","19.1029900332226","19.1029900332226","19.2691029900332","19.2691029900332","19.2691029900332","19.2691029900332","19.1029900332226","19.1029900332226","19.1029900332226","19.1029900332226","19.1029900332226","19.9335548172757","19.4352159468439","19.6013289036545","19.2691029900332","19.1029900332226","19.0697674418605","18.8870431893688","19.3521594684385","19.468438538206","14.2774086378738","9.08637873754153","10.9634551495017","10.9634551495017","10.9634551495017","","","",
"West Bank and Gaza","PSE","Rural land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.022414923","","","","","","","","","","3.022414923","","","","","","","","","","3.022414923","","","","","","",
"West Bank and Gaza","PSE","Rural land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.050360838","","","","","","","","","","0.050360838","","","","","","","","","","0.050360838","","","","","","",
"West Bank and Gaza","PSE","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.677547932","","","","","","","","","","2.677547932","","","","","","","","","","2.677547932","","","","","","",
"West Bank and Gaza","PSE","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.044614509","","","","","","","","","","0.044614509","","","","","","","","","","0.044614509","","","","","","",
"West Bank and Gaza","PSE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.094975347","","","","","","","","","","0.094975347","","","","","","","","","","0.094975347","","","","","","",
"West Bank and Gaza","PSE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","91","91.2","91.3","91.5","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","",
"West Bank and Gaza","PSE","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.50830564784053","1.51162790697674","1.51495016611296","1.51661129568106","1.51993355481728","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","1.52325581395349","",
"West Bank and Gaza","PSE","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.41734417344173","4.37837837837838","4.19618528610354","4.30517711171662","4.23309510720176","4.61280402571988","5.00707213578501","4.85436893203883","","5.15297906602254","5.5278310940499","","","","","",
"West Bank and Gaza","PSE","Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","","","","402","","402","","",
