"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Swaziland","SWZ","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.65733","","","","","",
"Swaziland","SWZ","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.44189","","","","","",
"Swaziland","SWZ","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.41395","","","","","",
"Swaziland","SWZ","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.73595","","","","","",
"Swaziland","SWZ","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.56944","","","","","",
"Swaziland","SWZ","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8","12.9","13.2","13.3","13.8","10.8","15","18.8","15.9","17.4","","","","","","",
"Swaziland","SWZ","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","97.1014492753624","93.6708860759494","94.7916666666667","89.7196261682243","82.5688073394495","53.4759358288767","39.7590361445785","38.7387387387389","48.4177215189872","40.0966183574878","47.8559176672384","56.190476190476","56.806373397991","42.9441624365481","41.4916727009413","32.2721325774095","29.2220113851991","34.5762711864407","38.3958410694393","38.186617787041","32.0378518411907","32.251740351227","38.3018612697832","44.2755423724303","53.8856483866191","23.6845039906964","7.92981596529677","18.3802915724643","48.1158146178419","34.9047561404054","42.8040012915431","39.7957264381529","28.1078828135019","6.51733633668147","10.3988575461576","19.7407814752679","20.1811337225162","7.13876305642741","13.4601964158933","6.26189979680019","5.4972723572686","","",
"Swaziland","SWZ","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","1.44927536231884","3.10126582278481","2.55208333333333","2.75700934579439","1.8348623853211","36.8449197860962","41.2851405622489","37.7177177177177","37.5949367088609","36.8599033816426","23.6020583190394","27.5238095238095","31.93626602009","27.0050761421321","32.4402606806662","31.487134757959","24.516129032258","24.1101694915254","26.4389157073895","27.2067487853815","20.180366798939","18.2469664999696","21.4692711312144","22.4221734575623","22.8980586877322","32.3891605996399","6.54733214921965","10.4803929211819","8.50574973582866","4.52492797336613","6.42508047197965","5.27711311502456","3.75264256637319","1.81286477612399","3.5992546441751","3.70343727955084","8.45108843908561","18.1669481309514","26.1387435658449","19.2032046401327","17.9497942575395","","",
"Swaziland","SWZ","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.402915773945759","0.786125918626538","0.485227241946621","0.298991271326748","0.103682508655046","0.0764933496928758","0.134238287621556","0.115640868053804","","","","","","","","","",
"Swaziland","SWZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951437","2947641","3978269","3677719","1103070","657893","1188832","876591","","","","","","","","","",
"Swaziland","SWZ","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","20309738.1184192","21365563.6291043","22079999.9808","24609999.9786","12534999.9891","22214353.5927329","31972675.5608058","37994470.0777379","29102541.1834963","37160039.5021003","39517988.9952091","23617628.3530643","25268796.4235291","48378382.803163","60744215.6089762","87429735.451652","101842800.709228","85466525.9124729","94424495.9045025","86481440.7116393","109579864.434243","149348857.277952","98009950.730915","89697577.779329","86739571.5457825","51371767.4746409","270559286.168702","111744080.955437","89848023.1001978","200012768.844616","175167015.608096","193290035.609106","268074668.78271","485854771.186447","252280235.614822","201576674.07322","250354382.058835","295779908.815902","225097067.242611","213567894.917951","269276712.108741","","",
"Swaziland","SWZ","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","1.4492753623188","3.16455696202532","2.60416666666669","7.4766355140187","15.5963302752294","9.62566844919829","18.4738955823292","23.1231231231229","13.6075949367088","22.7053140096618","28.3018867924528","16.0000000000003","11.257360581919","30.0507614213198","26.0680666183925","36.2407326646316","46.2618595825429","41.3135593220339","35.1652432231712","34.6066334275775","47.7817813598703","49.4806175362422","40.2056106260636","33.2737350691832","23.1954387816175","43.9263354096637","85.5228518854836","71.1393155063538","43.3784356463295","11.6604485438765","-11.6709159630555","-23.9678202348399","54.0441346594973","85.2931977518593","77.6118412034254","66.0402242462088","55.3167112226526","70.7856368938449","54.909361370593","70.6797736189447","70.7426947361591","","",
"Swaziland","SWZ","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","40.9625201615","42.0135036926","35.1855740719","33.4012439405","25.3350910196","19.7061336142","30.5120562401","46.7216548345","50.661716119","54.9317284001","61.2565404731","64.9585664668","70.2128244399","74.8446723524","86.752483978","94.7824973908","93.6754560433","105.2797524884","107.3319198563","102.5049832724","100","115.3099693893","112.5749131893","179.1768137252","213.2282634144","193.6419789554","195.8300239153","205.6762262351","185.9838215956","181.6077316757","196.9240463953","208.958293675","210.708729643","207.3172599551","209.833511659","","",
"Swaziland","SWZ","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Swaziland","SWZ","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
