"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Togo","TGO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","30","33","35","40","47","48","50","55","57","60","65","65","68","70","72","74","76","78","80","82","83","85","87","90","92","95","98","100","100","100","97","95","90","88","85","83","80","80","80","80","80","88","94","96","108","125","129","129","","","","","","","","",
"Togo","TGO","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Togo","TGO","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.17263157894737","7.48893617021277","3.39311827956989","9.68380952380952","5.48","6.28225108225108","0.000427350427350427","6.16166666666667","8.96178861788618","10.2028455284553","5.00415094339623","11.9996226415094","","","",
"Togo","TGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","30700","30700","30700","30700","30750","30750","30750","30750","30750","30750","28800","28800","28800","28800","28800","28800","28800","29800","30300","30350","30350","30350","30350","30850","30900","30900","31100","31400","31400","31900","31950","31950","33000","33000","33000","34000","34500","35300","36300","36300","34800","35050","34800","34550","32500","32800","34950","35450","36050","36650","36650","38500","38200","","","",
"Togo","TGO","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","56.4441993013422","56.4441993013422","56.4441993013422","56.4441993013422","56.5361279646994","56.5361279646994","56.5361279646994","56.5361279646994","56.5361279646994","56.5361279646994","52.9509100937672","52.9509100937672","52.9509100937672","52.9509100937672","52.9509100937672","52.9509100937672","52.9509100937672","54.7894833609119","55.7087699944843","55.8006986578415","55.8006986578415","55.8006986578415","55.8006986578415","56.7199852914139","56.8119139547711","56.8119139547711","57.1796286082","57.7312005883434","57.7312005883434","58.6504872219158","58.742415885273","58.742415885273","60.672917815775","60.672917815775","60.672917815775","62.5114910829197","63.430777716492","64.9016363302078","66.7402095973524","66.7402095973524","63.9823496966354","64.4419930134216","63.9823496966354","63.5227063798492","59.7536311822026","60.305203162346","64.2581356867071","65.1774223202795","66.2805662805663","67.3837102408531","67.3837102408531","70.7850707850708","70.2334988049274","","","",
"Togo","TGO","Arable land (hectares)","AG.LND.ARBL.HA","","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1800000","1900000","1950000","1950000","1950000","1950000","1950000","2000000","2000000","2000000","2020000","2050000","2050000","2100000","2100000","2100000","2200000","2200000","2200000","2300000","2330000","2410000","2510000","2500000","2350000","2375000","2350000","2325000","2100000","2100000","2310000","2340000","2400000","2460000","2460000","2650000","2650000","","","",
"Togo","TGO","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","1.12674081455849","1.11610049368845","1.10310136950035","1.08298557463215","1.05347435843412","1.01463955775244","0.970117680664207","0.925078413243834","0.884560439803451","0.850854234016112","0.823549489147677","0.800863152508815","0.781472163310316","0.763804817316983","0.746749771619028","0.730384015626972","0.714692408299008","0.737443663185415","0.737841227919155","0.716690960652564","0.693439105911622","0.668919725516509","0.644334580809139","0.63687067226476","0.614818036916749","0.594627893756645","0.581720331327166","0.572707445112976","0.556413699285266","0.55453714369008","0.540282150775768","0.527061336888571","0.539030988891551","0.526229049804948","0.513504467255454","0.523567241171689","0.517034970869628","0.521100685733907","0.528680941052075","0.512848390733035","0.469415765138708","0.461844902175416","0.444802305249462","0.428291006515181","0.376464244232792","0.366353085870547","0.392162588232338","0.386589188025582","0.385866916751303","0.384925262691933","0.374647112118022","0.392849778247419","0.3824660806709","","","",
"Togo","TGO","Arable land (% of land area)","AG.LND.ARBL.ZS","","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","33.0943188086045","34.9328920757492","35.8521787093216","35.8521787093216","35.8521787093216","35.8521787093216","35.8521787093216","36.7714653428939","36.7714653428939","36.7714653428939","37.1391799963229","37.6907519764663","37.6907519764663","38.6100386100386","38.6100386100386","38.6100386100386","40.4486118771833","40.4486118771833","40.4486118771833","42.287185144328","42.8387571244714","44.3096157381872","46.1481890053319","45.9643316786174","43.2064717779004","43.6661150946865","43.2064717779004","42.7468284611142","38.6100386100386","38.6100386100386","42.4710424710425","43.0226144511859","44.1257584114727","45.2289023717595","45.2289023717595","48.7221915793344","48.7221915793344","","","",
"Togo","TGO","Land under cereal production (hectares)","AG.LND.CREL.HA","","373973","388664","427890","453100","524855","647800","533743","428552","322000","397011","385290","290500","325030","266655","273280","281600","306000","356800","383200","465000","399530","354900","389400","492800","441058","464532","510490","597000","616400","648006","609500","573150","721432","793232","696140","846231","762596","747243","715842","699716","708237","708594","699168","729829","735748","783163","782496","817193","853985","880827","862616","1140181","1198665","1149789","","",
"Togo","TGO","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.28700128700129","1.28700128700129","1.28700128700129","1.28700128700129","1.37892995035852","1.37892995035852","1.37892995035852","1.37892995035852","1.37892995035852","1.37892995035852","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.47085861371576","1.56278727707299","1.56278727707299","1.56278727707299","1.56278727707299","1.56278727707299","1.65471594043023","1.65471594043023","1.65471594043023","1.65471594043023","1.65471594043023","1.65471594043023","1.74664460378746","1.74664460378746","1.8385732671447","1.8385732671447","1.8385732671447","1.8385732671447","2.20628792057363","2.20628792057363","2.20628792057363","2.3901452472881","2.3901452472881","2.3901452472881","2.3901452472881","2.3901452472881","2.75785990071704","3.30943188086045","3.40136054421769","3.76907519764663","3.76907519764663","3.76907519764663","3.76907519764663","3.67714653428939","3.12557455414598","","","",
