"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Tuvalu","TUV","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","10.2","10.2","20.3","","","","",
"Tuvalu","TUV","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1115822950071","56.3990403331292","57.4497988223331","60.7655820159436","61.940666487945","57.1547264718292","66.1904449167489","69.0872930122736","67.1723049752409","73.6502541027468","72.0324457317733","74.7749360088575","72.9556233917859","","","",
"Tuvalu","TUV","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00597328652727","0.884592695624947","13.4017383090162","7.90848154416432","11.0224027041742","17.0421763883406","9.73867423382092","10.9242030371266","10.9551439721746","9.1368075209689","8.95737995475771","7.98157200249084","8.90522951632156","","","",
"Tuvalu","TUV","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8159453677802","17.6859144194825","4.24964886375914","14.9803635774728","","","","","","","","","","","",
"Tuvalu","TUV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13523","4873","4720","3700","","","","","","","","","","","",
"Tuvalu","TUV","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997226.710276553","1326660.60446279","1631797.38924075","2184389.32428352","1918447.96050149","2061281.01298683","2274363.35770833","2699714.74408208","2271530.76295089","3185759.09246395","3393628.65071469","3568736.56028274","3254374.07621788","","","",
"Tuvalu","TUV","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1399873610516","36.6962222371316","25.3330213571871","28.969215673219","23.4543513807386","21.7115135267668","20.097413462756","16.7261566272258","17.1865242009325","13.8102463657256","15.4217223891739","13.2910326199591","14.0141207783288","","","",
"Tuvalu","TUV","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","104545.4545455","55454.5454545","178181.8181818","1402727.272727","225454.5454545","145454.5454545","52718.0699351","256044.7734747","420595.9451718","778928.475604","1665529.470567","5262181.700754","2052813.98315","1631084.007158","818962.8966048","1124656.190451","254679.6995429","452765.1108607","1323181.009989","640158.8366003","805698.6143741","1227870.843934","2062536.268634","1140399.015724","2481762.14434","3462410.117708","2226901.656515","2236810.761398","1713573.10016","3257725.211511","4809104.828382","20894093.6074","6807461.494676","5501526.797994","","",
"Tuvalu","TUV","Merchandise exports by the reporting economy, residual (% of total merchandise exports)","TX.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","22.7972358315626","83.4479571292156","74.2318701777236","3.96538995593986","38.7147713831394","50.2663617672434","8.0521934501528","20.5089627325686","19.3982249156297","15.7047635023383","20.3457338111161","19.4887356475577","9.20040875302022","57.5891569573492","70.5250673034075","45.8177832786564","44.4610892707386","47.2776495532487","11.8605787897933","30.8161760537418","11.7550727718965","36.5671721529837","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2027641684374","16.5520428707844","25.7681298222764","96.0346100440601","61.2852286168606","49.7336382327566","91.9478065498472","79.4910372674314","80.6017750843703","84.2952364976617","79.6542661888839","80.5112643524423","90.7995912469798","42.4108430426508","29.4749326965925","54.1822167213436","55.5389107292614","52.7223504467513","88.1394212102067","69.1838239462582","88.2449272281035","63.4328278470163","","",
"Tuvalu","TUV","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","150000","176000","170000","150000","290000","164000","27000","121000","159000","114000","10000","16000","137000","95000","134000","62631.4463103393","51000","92000","200000","300000","300000","300000","300000","300000","300000","300000","",
"Tuvalu","TUV","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","17.4096836748304","19.4194338399481","27.4564459930314","","","","","","","","","","","","","","","","","","","","35.2765321375187","28.2464503562458","83.1341082776327","39.5620765324919","","","","","","","","","","","",
"Tuvalu","TUV","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74245705741404","6.02014473411424","3.81544151146367","2.35672076667306","3.5825794271422","4.09158361306354","3.9734673866742","3.26234732337399","4.68602685165207","3.40269201055872","3.58845192429507","3.95245936869257","4.12502631356378","","","",
"Tuvalu","TUV","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.138592595817551","0.172228202368138","3.09877920075449","7.16310807131073","","","","","","","","","","","",
"Tuvalu","TUV","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","82.5903163251696","80.5805661600519","72.5435540069686","","","97.9094332017186","","","","","","","","","","","","","","","","","9.26103298648904","","3.21704178860937","","","","","","","","","","","","",
"Tuvalu","TUV","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","2.09056679828137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7381681610064","35.2499574630764","26.4665321063321","30.8836828253679","47.7869370321493","51.3585460627938","29.0401456313487","31.3581729659641","33.3396834833495","28.7113281109907","27.7706883256463","37.4412799428466","35.307418761543","","","",
"Tuvalu","TUV","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1858655672918","26.6001626531214","14.5121776727771","22.5984791747631","33.1674229402389","32.1366955378675","15.2848326161104","20.8033487717534","21.852283597689","20.4061243603279","15.2822439873796","20.0040014961007","28.874080418189","","","",
"Tuvalu","TUV","Commercial service imports (current US$)","TM.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8180634.92366595","9230047.92003955","13135553.756786","12338723.7453432","8455324.24273919","9659775.75399532","20275585.2271173","23040533.0497587","18836917.3341503","25802300.8459856","34759470.6075647","25371287.0736907","17124970.1379653","","","",
"Tuvalu","TUV","Computer, communications and other services (% of commercial service imports)","TM.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5932821054088","37.0013053253923","57.9579436159461","45.9723978597448","18.0439533998137","15.3066371887597","54.8696606348993","47.1979846857976","44.0893008227104","50.2020868255627","56.3389368736284","42.0009857524738","35.0588925265626","","","",
"Tuvalu","TUV","Import value index (2000 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","TM.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","3929200","5380100","2906200","3604700","3328600","3052500","4063663.910681","4841347.834699","5835169.31253","3860052.274822","2278192.86416","9177656.558163","8766125.473676","11755077.24398","8832922.445459","7889178.92356","8575639.647628","9295005.93347","11003726.46357","12912639.86432","14468938.90966","24913708.1078","25605970.71084","30859556.4639","44381656.78947","62568484.22232","68017586.19959","137367543.0315","128368306.388","106568228.9325","107766736.5542","230421063.5","97069126.26","82698810.14","","",
"Tuvalu","TUV","Merchandise imports by the reporting economy, residual (% of total merchandise imports)","TM.VAL.MRCH.RS.ZS","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","13.5987721374482","19.9114925345358","45.237925599361","45.7584556411227","51.2649396828143","61.2343490333757","66.0651146627692","60.6286649644842","66.1694267222459","38.9179978772184","51.7184290433236","59.3657066796181","58.3868439224381","56.060587744712","60.7970561897259","66.3438635447325","28.2506948133734","46.4500103867483","58.285489827707","89.0082426066487","57.5316612416163","69.8417202537516","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","TM.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","TM.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","TM.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tuvalu","TUV","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
