"Data Source","World Development Indicators",

"Last Updated Date","2016-11-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"St. Vincent and the Grenadines","VCT","Mobile account, income, richest 60% (% ages 15+) [w2]","WP15163_4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Mobile account, income, poorest 40% (% ages 15+) [w2]","WP15163_4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Mobile account, female (% age 15+) [w2]","WP15163_4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Mobile account, male (% age 15+) [w2]","WP15163_4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Mobile account (% age 15+) [w2]","WP15163_4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Account at a financial institution, income, richest 60% (% ages 15+) [ts]","WP_time_01.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Account at a financial institution, income, poorest 40% (% ages 15+) [ts]","WP_time_01.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Account at a financial institution, female (% age 15+) [ts]","WP_time_01.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Account at a financial institution, male (% age 15+) [ts]","WP_time_01.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Account at a financial institution (% age 15+) [ts]","WP_time_01.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5036128304051","22.2121444899999","8.334954018837","22.2413745169451","12.9787056522263","18.5","11.1","18.5","16.6","25.8","21.1","11.9","33","14.7","18.3","22.9","19.2","25.6","","","","",
"St. Vincent and the Grenadines","VCT","Internally displaced persons (number, low estimate)","VC.IDP.TOTL.LE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Internally displaced persons (number, high estimate)","VC.IDP.TOTL.HE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","2325","","","",
"St. Vincent and the Grenadines","VCT","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","100","93.4306569343066","94.3502824858757","94.1798941798942","92.3566878980892","88.2022471910112","81.6753926701571","91.1458333333333","74.5833333333333","78.5959943354239","75.8642363293525","74.5550161812298","71.4736367733215","66.0380549682875","73.4962904080552","72.507940386025","72.3911056960097","73.4039272129125","66.7967391724297","70.8702584448814","69.2921375835405","67.2894442152414","65.5513263108198","67.7839703957762","67.2926587801754","69.5533367047001","66.6725483224797","66.6193310246902","67.0797327515367","69.2947131234337","63.6697660730848","63.9091488233654","63.2843268969938","66.7468385490019","68.0787836827686","66.7372809839788","","","",
"St. Vincent and the Grenadines","VCT","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16666666666664","8.19340481488975","8.48522941546197","8.19174757281554","9.01306894997747","9.81818181818183","7.03497615262321","7.3601270461764","7.20682302771855","7.3815153695898","5.30464011126994","6.28870184285663","9.31103257636728","8.28372723522131","8.37390457643619","7.24226048106866","6.91540285601623","7.1393663096877","7.5542426404231","6.74582534335581","6.8861513474954","7.62456472967922","7.2792803108893","6.02145036686287","7.51984105065712","6.64002214479721","5.15118671848598","5.75501239047556","","","",
"St. Vincent and the Grenadines","VCT","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0140362375139332","17.3070420485246","0","0.0261493641508746","0","0","0","0.00855196826222045","0.00423764287833107","0.00306285029454916","0","0","0.0535879643897462","0.0274312757906832","0.208783984590041","0.0070728730571976","0.772991048275674","0.155883559782335","0.0018481389800513","0.0584440234961804","","","","",
"St. Vincent and the Grenadines","VCT","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","783","1445944","0","1851","0","0","0","480","164","101","0","0","2217","1207","10039","403","41882","8506","99","3056","","","","",
"St. Vincent and the Grenadines","VCT","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","11100000","13700000","17700000","18900000","15700000","17800000","19100000","19200000","26666666.6666667","36614814.8148148","35355555.5555556","36622222.2222222","41092592.5925925","43796296.2962963","55911111.1111111","60637037.037037","60796296.2962963","72051851.8518519","95862962.962963","99885185.1851849","105848148.148148","125681481.481481","125522222.222223","131312592.592592","135243292.592592","131113618.148148","143320688.888889","155949618.518518","168842740.740741","158758303.703704","150827924.444444","136970704.074074","136187251.111111","137362588.518518","138293648.888889","138369274.444444","","","",
"St. Vincent and the Grenadines","VCT","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","0","6.56934306569343","5.64971751412429","5.82010582010582","7.64331210191082","11.7977528089888","18.3246073298429","8.85416666666666","14.3055555555556","12.1990693910579","14.1839513932538","16.3430420711973","18.7922487607028","22.8329809725158","17.7265500794912","18.3361837283165","18.7816021931161","18.0888249203249","26.9520534713906","21.9659609180909","20.44158298051","23.4455118759945","24.8532058658643","23.6348661943226","24.5904274187458","21.8545903002211","24.5667692752019","25.1545697438795","24.3335700939338","21.1319993480889","26.898822174092","28.1083085674488","26.9459510347704","24.34329974945","24.919038353739","25.5661109478647","","","",
"St. Vincent and the Grenadines","VCT","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","32.7017581021","50.9150603686","68.2529125185","86.9243804279","113.4490574031","133.9665325143","135.1722092777","110.8521499682","180.5958483372","158.0016945562","175.1825884347","142.1520864224","165.4098707901","122.4316882017","106.7570429994","90.7659574468","98.6595744681","98.2553191489","106.3829787234","104.2553191489","100","88.2553191489","80.8510638298","81.1914893617","77.8936170213","84.8531914894","81.0787234043","101.5191489362","111.0765957447","104.3914893617","88.3319148936","81.770212766","91.5787234043","104.5106382979","102.4425531915","","",
"St. Vincent and the Grenadines","VCT","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","7.08510280957161","8.71573760394332","14.7786533115833","11.5690997501066","9.40490610834389","8.5025043388461","8.89043599317367","13.488632208384","9.46087923602933","13.0142629353227","12.4134194019917","16.3905658503186","18.9601570424867","22.5484027911641","24.8066855160994","28.8027303030554","20.6942228140545","27.169053342399","21.4008897670481","19.8580176516996","17.5831808719158","20.0085095340414","20.3833551246506","20.4710400492839","23.4844942944842","27.5673594336035","6.98142272757853","8.5735451198061","6.43435544425829","6.98265571248681","14.66476963696","20.7694338137986","31.4324609979091","27.2165565464941","31.2403561634424","","",
"St. Vincent and the Grenadines","VCT","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","9995000","16413000","14792000","15436666.67238","24051851.86076","32243703.71565","41054444.45965","18301211.78507","29578126.41859","63838888.9016","51656666.66667","85251468.88889","74604481.11111","82721111.61307","67116296.2963","78865185.18519","57856148.51852","50365063.7037","44529801.11111","52889522.13333","46064458.88889","49646452.59259","49403950.37037","50590212.22222","41621289.25926","39295582.59259","38091909.25926","36610741.11111","39880567.03704","217073219.4377","187495262.131","310900490.062","234703834.2627","140341706.7531","109470547.4824","79614843.27662","91198466.80879","82611788.16044","","",
